ID_COORD,original_lat,original_long,lat2,long2
85,00 36.2715,077S 53.189W,-0.604525,-77.8864833333333
86,00°40.501S,077°55.328W,-0.675016666666667,-77.9221333333333
87,00°40.365S,077°55.112W,-0.67275,-77.9185333333333
88,00°42.685S,077°47.673W,-0.711416666666667,-77.79455
89,00°37.703S,077°50.454W,-0.628383333333333,-77.8409
90,00°32.675S,077°52.660W,-0.544583333333333,-77.8776666666667
91,00°21.881S,078°05.089W,-0.364683333333333,-78.0848166666667
92,00°44.828S,077°45.169W,-0.747133333333333,-77.7528166666667
93,00°38.505S,077°48.197W,-0.64175,-77.8032833333333
94,00°32.651S,077°52.033W,-0.544183333333333,-77.8672166666667
95,00°37.881S,077°50.482W,-0.63135,-77.8413666666667
96,00°35.900S,077°53.739W,-0.598333333333333,-77.89565
97,0°42.14.3,077°44.39.2,-0.702383333333333,-77.7398666666667
98,00°21.762S,078°05.135W,-0.3627,-78.0855833333333
99,00°32.673S,077°52.648W,-0.54455,-77.8774666666667
100,00°35.675S,077°51.474W,-0.594583333333333,-77.8579
101,00°32.675S,077°52.566W,-0.544583333333333,-77.8761
102,00°34.221S,077°35.677W,-0.57035,-77.5946166666667
103,00°16.295S,077°45.984W,-0.271583333333333,-77.7664
104,00°36.062S,077°53.002W,-0.601033333333333,-77.8833666666667
105,00°37.8645S,077°54.528W,-0.631075,-77.9088
106,00°21.8645S,078°05.123W,-0.364408333333333,-78.0853833333333
107,00°21.505S,078°05.130W,-0.358416666666667,-78.0855
108,00°40.903S,077°55.731W,-0.681716666666667,-77.92885
109,00°41.903S,077°55.901W,-0.698383333333333,-77.9316833333333
110,00°36.147S,077°53.019W,-0.60245,-77.88365
111,00°32.679S,077°52.617W,-0.54465,-77.87695
112,00°32.759S,077°52.445W,-0.545983333333333,-77.8740833333333
113,00°36.0805S,077°53.143W,-0.601341666666667,-77.8857166666667
114,00 31.097S,0077 53.495W,-0.518283333333333,-77.8915833333334
115,00°36.267S,077°53.181W,-0.60445,-77.88635
116,00°36.233S,077°53.169W,-0.603883333333333,-77.88615
117,00°33.920S,077°53.578W,-0.565333333333333,-77.8929666666667
118,00°33.808S,077°53.089W,-0.563466666666667,-77.8848166666667
119,00°35.973S,077°53.639W,-0.59955,-77.8939833333333
120,00°35.008S,077°53.590W,-0.583466666666667,-77.8931666666667
121,00°32.442S,077°52.771W,-0.5407,-77.8795166666667
122,00°21.742S,078°05.149W,-0.362366666666667,-78.0858166666667
123,00°21.852S,078°05.087W,-0.3642,-78.0847833333333
124,00°43.248S,077°46.127W,-0.7208,-77.7687833333333
125,00°43.343S,077°46.094W,-0.722383333333333,-77.7682333333333
126,00°33.758S,077°51.924W,-0.562633333333333,-77.8654
127,00°33.754S,077°51.948W,-0.562566666666667,-77.8658
128,00°36.134S,077°53.150W,-0.602233333333333,-77.8858333333333
129,00°36.084S,077°53.228W,-0.6014,-77.8871333333333
130,00°33.892S,077°51.751W,-0.564866666666667,-77.8625166666667
131,00°36.918S,077°54.249W,-0.6153,-77.90415
132,00°36.903S,077°54.304W,-0.61505,-77.9050666666667
133,00°31.717S,077°53.163W,-0.528616666666667,-77.88605
134,00°31.704S,077°53.169W,-0.5284,-77.88615
135,00°35.373S,077°51.944W,-0.58955,-77.8657333333333
136,0°35.413S,077°51.965W,-0.590216666666667,-77.8660833333333
137,00°36.091S,077°53.271W,-0.601516666666667,-77.88785
