original_lat,original_long,long2,lat2,manual_rev
00°40.365S,077°55.112W,-77.9185333333333,-0.67275,
00°42.685S,077°47.673W,-77.79455,-0.711416666666667,
00°37.703S,077°50.454W,-77.8409,-0.628383333333333,
00°32.675S,077°52.660W,-77.8776666666667,-0.544583333333333,
00°21.881S,078°05.089W,-78.0848166666667,-0.364683333333333,
00°44.828S,077°45.169W,-77.7528166666667,-0.747133333333333,
00°38.505S,077°48.197W,-77.8032833333333,-0.64175,
00°32.651S,077°52.033W,-77.8672166666667,-0.544183333333333,
00°37.881S,077°50.482W,-77.8413666666667,-0.63135,
00°35.900S,077°53.739W,-77.89565,-0.598333333333333,
0°42.14.3,077°44.39.2,-77.7398666666667,-0.702383333333333,
00°21.762S,078°05.135W,-78.0855833333333,-0.3627,
00°32.673S,077°52.648W,-77.8774666666667,-0.54455,
00°35.675S,077°51.474W,-77.8579,-0.594583333333333,
00°32.675S,077°52.566W,-77.8761,-0.544583333333333,
00°34.221S,077°35.677W,-77.5946166666667,-0.57035,
00°16.295S,077°45.984W,-77.7664,-0.271583333333333,
00°36.062S,077°53.002W,-77.8833666666667,-0.601033333333333,
00°37.8645S,077°54.528W,-77.9088,-0.631075,
00°21.8645S,078°05.123W,-78.0853833333333,-0.364408333333333,
00°21.505S,078°05.130W,-78.0855,-0.358416666666667,
00°40.903S,077°55.731W,-77.92885,-0.681716666666667,
00°41.903S,077°55.901W,-77.9316833333333,-0.698383333333333,
00°36.147S,077°53.019W,-77.88365,-0.60245,
00°32.679S,077°52.617W,-77.87695,-0.54465,
00°32.759S,077°52.445W,-77.8740833333333,-0.545983333333333,
00°36.0805S,077°53.143W,-77.8857166666667,-0.601341666666667,
00 31.097S,0077 53.495W,-77.8915833333333,-0.518283333333333,
00°36.267S,077°53.181W,-77.88635,-0.60445,
00°36.233S,077°53.169W,-77.88615,-0.603883333333333,
00°33.920S,077°53.578W,-77.8929666666667,-0.565333333333333,
00°33.808S,077°53.089W,-77.8848166666667,-0.563466666666667,
00°35.973S,077°53.639W,-77.8939833333333,-0.59955,
00°35.008S,077°53.590W,-77.8931666666667,-0.583466666666667,
00°32.442S,077°52.771W,-77.8795166666667,-0.5407,
00°21.742S,078°05.149W,-78.0858166666667,-0.362366666666667,
00°21.852S,078°05.087W,-78.0847833333333,-0.3642,
00°43.248S,077°46.127W,-77.7687833333333,-0.7208,
00°43.343S,077°46.094W,-77.7682333333333,-0.722383333333333,
00°33.758S,077°51.924W,-77.8654,-0.562633333333333,
00°33.754S,077°51.948W,-77.8658,-0.562566666666667,
00°36.134S,077°53.150W,-77.8858333333333,-0.602233333333333,
00°36.084S,077°53.228W,-77.8871333333333,-0.6014,
00°33.892S,077°51.751W,-77.8625166666667,-0.564866666666667,
00°36.918S,077°54.249W,-77.90415,-0.6153,
00°36.903S,077°54.304W,-77.9050666666667,-0.61505,
00°31.717S,077°53.163W,-77.88605,-0.528616666666667,
00°31.704S,077°53.169W,-77.88615,-0.5284,
00°35.373S,077°51.944W,-77.8657333333333,-0.58955,
0°35.413S,077°51.965W,-77.8660833333333,-0.590216666666667,
00°36.091S,077°53.271W,-77.88785,-0.601516666666667,
00°36.026S,077°53.373W,-77.88955,-0.600433333333333,
00°35.755S,077°52.801W,-77.8800166666667,-0.595916666666667,
01°03.000S,077°35.994W,-77.5999,-1.05,
00°35.791S,077°53.315W,-77.8885833333333,-0.596516666666667,
00°35.924S,077°53.440W,-77.8906666666667,-0.598733333333333,
00°36.484S,077°52.645W,-67.8774166666667,-0.608066666666667,yes
00°41.019S,077°48.260W,-77.8043333333333,-0.68365,
00°27.543S,077°73.763W,-78.2293833333333,-0.45905,
00°40.730S,077°48.913W,-77.8152166666667,-0.678833333333333,
00°19.610S,077°49.790W,-77.8298333333333,-0.326833333333333,
00°19.051S,077°49.799W,-77.8299833333333,-0.317516666666667,
00°33.598S,077°52.554W,-77.8759,-0.559966666666667,
01°04.223S,077°34.040W,-77.5673333333333,-1.07038333333333,
00°32.706S,077°52.593W,-77.87655,-0.5451,
00°32.693S,077°52.278W,-77.8713,-0.544883333333333,
00°.929S,077°51.396W,-77.8566,-0.0154833333333333,
00°36.881S,077°51.407W,-77.8567833333333,-0.614683333333333,
00°06.025S,077°34.709W,-77.5784833333333,-0.100416666666667,
00°21.835S,078°05.120W,-78.0853333333333,-0.363916666666667,
00°21.779S,078°05.142W,-78.0857,-0.362983333333333,
00°49.860S,077°45.553W,-77.7592166666667,-0.831,
00°27.478S,077°53.288W,-77.8881333333333,-0.457966666666667,
00°34°76.60S,077°52°52.2W,-77.8666666666667,-0.566666666666667,
00°43°21.8S,077°46°00.9W,-77.7666666666667,-0.716666666666667,
00°34.868S,077°51.830W,-77.8638333333333,-0.581133333333333,
00°21.867S,078°05.103W,-78.08505,-0.36445,
00°32.680S,077°52.548W,-77.8758,-0.544666666666667,
00°36.041S,077°53.365W,-77.8894166666667,-0.600683333333333,
01°03.779S,077°35.852W,-77.5975333333333,-1.06298333333333,
00°33.721S,077°51.940W,-77.8656666666667,-0.562016666666667,
00°40.048S,077°44.562W,-77.7427,-0.667466666666667,
00°40.186S,077°44.538W,-77.7423,-0.669766666666667,
00°39.859S,077°44.830W,-77.7471666666667,-0.664316666666667,
00°32.696S,077°52.584W,-77.8764,-0.544933333333333,
00°12.872S,078°05.983W,-78.0997166666667,-0.214533333333333,
00°27.499S,077°53.290W,-77.8881666666667,-0.458316666666667,
00°43.460S,077°46.172W,-77.7695333333333,-0.724333333333333,
00°36°52S,077°53°13W,-77.8833333333333,-0.6,
00°32.68S,077°52.617W,-77.87695,-0.544666666666667,
00°21.880S,078°05.088W,-78.0848,-0.364666666666667,
00°35.244S,077°51.784W,-77.8630666666667,-0.5874,
00°35.233S,077°51.773W,-77.8628833333333,-0.587216666666667,
00°27.498S,077°53.538W,-77.8923,-0.4583,
00°19.121S,077°47.424W,-77.7904,-0.318683333333333,
00°35.258S,077°52.828W,-77.8804666666667,-0.587633333333334,
0°55´23.2S,077°49´14.6W,-77.8166666666667,-0.916666666666667,
"0°59´25.7""S","077°47´55.2""W",-77.7833333333333,-0.983333333333333,
01°04.260S,077°36.906W,-77.6151,-1.071,
00°21.576S,078°074.995W,-79.2499166666667,-0.3596,
00°21.533S,078°05.026W,-78.0837666666667,-0.358883333333333,
